[log (02/03/17 15:50:02)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (02/03/17 15:50:03)]  TYPE "putty#ENTER."
[log (02/03/17 15:50:04)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (02/03/17 15:50:05)]  TYPE "OPTIMUS#TAB."
[log (02/03/17 15:50:06)]  TYPE "1234#ENTER."
[log (02/03/17 15:50:07)]  TYPE "221#ENTER."
[log (02/03/17 15:50:08)]  TYPE "0002311164"
[log (02/03/17 15:50:09)]  TYPE "#ENTER."
[log (02/03/17 15:50:10)]  TYPE "#ENTER."
[log (02/03/17 15:50:11)]  TYPE "20001454#ENTER."
[log (02/03/17 15:50:12)]  TYPE "4X#ENTER."
