[log (17/03/17 09:58:47)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (17/03/17 09:58:48)]  TYPE "putty#ENTER."
[log (17/03/17 09:58:49)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (17/03/17 09:58:51)]  TYPE "OPTIMUS#TAB."
[log (17/03/17 09:58:52)]  TYPE "1234#ENTER."
[log (17/03/17 09:58:53)]  TYPE "2#ENTER."
[log (17/03/17 09:58:54)]  TYPE "6#ENTER."
[log (17/03/17 09:58:55)]  TYPE "#DOWN."
[log (17/03/17 09:58:55)]  TYPE "8001350201406"
[log (17/03/17 09:58:56)]  TYPE "#ENTER."
[log (17/03/17 09:59:00)]  TYPE "null#ENTER."
